TEAM 1,TEAM 2,DIVISION,DATE,TIME,COURT,REF
I-08,I-08,INTERMEDIATE,Aug 21 26,10:45 PM,14,I14
R-05,R-04,RECREATIONAL,Aug 21 26,7:00 PM,15,6
R-04,R-06,RECREATIONAL,Aug 21 26,7:45 PM,15,5
R-05,R-06,RECREATIONAL,Aug 21 26,8:30 PM,15,4
I-01,I-01,INTERMEDIATE,Aug 21 26,9:15 PM,15,I3
I-02,I-02,INTERMEDIATE,Aug 21 26,10:00 PM,15,I1
I-01,I-01,INTERMEDIATE,Aug 21 26,10:45 PM,15,I2
R-08,R-07,RECREATIONAL,Aug 21 26,7:00 PM,16,9
R-07,R-09,RECREATIONAL,Aug 21 26,7:45 PM,16,8
R-08,R-09,RECREATIONAL,Aug 21 26,8:30 PM,16,7
R-02,R-01,RECREATIONAL,Aug 21 26,9:15 PM,16,3
R-01,R-03,RECREATIONAL,Aug 21 26,10:00 PM,16,2
R-02,R-03,RECREATIONAL,Aug 21 26,10:45 PM,16,1
E-05,E-06,ELITE,Aug 28 26,7:00 PM,4,1
E-06,E-01,ELITE,Aug 28 26,7:45 PM,4,5
E-05,E-01,ELITE,Aug 28 26,8:30 PM,4,6
E-03,E-04,ELITE,Aug 28 26,9:15 PM,4,2
E-04,E-02,ELITE,Aug 28 26,10:00 PM,4,3
E-03,E-02,ELITE,Aug 28 26,10:45 PM,4,4
P-06,P-03,POWER,Aug 28 26,9:15 PM,2,9
P-03,P-09,POWER,Aug 28 26,10:00 PM,2,6
P-06,P-09,POWER,Aug 28 26,10:45 PM,2,3
P-04,P-01,POWER,Aug 28 26,7:00 PM,3,7
P-01,P-07,POWER,Aug 28 26,7:45 PM,3,4
P-04,P-07,POWER,Aug 28 26,8:30 PM,3,1
P-05,P-02,POWER,Aug 28 26,9:15 PM,3,8
P-02,P-08,POWER,Aug 28 26,10:00 PM,3,5
P-05,P-08,POWER,Aug 28 26,10:45 PM,3,2
A-17,A-11,ADVANCED,Aug 28 26,7:00 PM,1,14
A-11,A-14,ADVANCED,Aug 28 26,7:45 PM,1,17
A-17,A-14,ADVANCED,Aug 28 26,8:30 PM,1,11
A-03,A-06,ADVANCED,Aug 28 26,9:15 PM,1,9
A-06,A-09,ADVANCED,Aug 28 26,10:00 PM,1,3
A-03,A-09,ADVANCED,Aug 28 26,10:45 PM,1,6
S-17,S-11,SKILLED,Aug 28 26,7:00 PM,5,14
S-11,S-14,SKILLED,Aug 28 26,7:45 PM,5,17
S-17,S-14,SKILLED,Aug 28 26,8:30 PM,5,11
S-03,S-06,SKILLED,Aug 28 26,9:15 PM,5,9
S-06,S-09,SKILLED,Aug 28 26,10:00 PM,5,3
S-03,S-09,SKILLED,Aug 28 26,10:45 PM,5,6
S-18,S-12,SKILLED,Aug 28 26,7:00 PM,6,15
S-12,S-15,SKILLED,Aug 28 26,7:45 PM,6,18
S-18,S-15,SKILLED,Aug 28 26,8:30 PM,6,12
S-04,S-01,SKILLED,Aug 28 26,9:15 PM,6,7
S-01,S-07,SKILLED,Aug 28 26,10:00 PM,6,4
S-04,S-07,SKILLED,Aug 28 26,10:45 PM,6,1
A-18,A-12,ADVANCED,Aug 28 26,7:00 PM,7,15
A-12,A-15,ADVANCED,Aug 28 26,7:45 PM,7,18
A-18,A-15,ADVANCED,Aug 28 26,8:30 PM,7,12
A-04,A-01,ADVANCED,Aug 28 26,9:15 PM,7,7
A-01,A-07,ADVANCED,Aug 28 26,10:00 PM,7,4
A-04,A-07,ADVANCED,Aug 28 26,10:45 PM,7,1
A-13,A-10,ADVANCED,Aug 28 26,7:00 PM,8,16
A-10,A-16,ADVANCED,Aug 28 26,7:45 PM,8,13
A-13,A-16,ADVANCED,Aug 28 26,8:30 PM,8,10
A-05,A-02,ADVANCED,Aug 28 26,9:15 PM,8,8
A-02,A-08,ADVANCED,Aug 28 26,10:00 PM,8,5
A-05,A-08,ADVANCED,Aug 28 26,10:45 PM,8,2
C-17,C-11,COMPETITIVE,Aug 28 26,7:00 PM,9,14
C-11,C-14,COMPETITIVE,Aug 28 26,7:45 PM,9,17
C-17,C-14,COMPETITIVE,Aug 28 26,8:30 PM,9,11
C-03,C-06,COMPETITIVE,Aug 28 26,9:15 PM,9,9
C-06,C-09,COMPETITIVE,Aug 28 26,10:00 PM,9,3
C-03,C-09,COMPETITIVE,Aug 28 26,10:45 PM,9,6
C-18,C-12,COMPETITIVE,Aug 28 26,7:00 PM,10,15
C-12,C-15,COMPETITIVE,Aug 28 26,7:45 PM,10,18
C-18,C-15,COMPETITIVE,Aug 28 26,8:30 PM,10,12
C-04,C-01,COMPETITIVE,Aug 28 26,9:15 PM,10,7
C-01,C-07,COMPETITIVE,Aug 28 26,10:00 PM,10,4
C-04,C-07,COMPETITIVE,Aug 28 26,10:45 PM,10,1
C-13,C-10,COMPETITIVE,Aug 28 26,7:00 PM,11,16
C-10,C-16,COMPETITIVE,Aug 28 26,7:45 PM,11,13
C-13,C-16,COMPETITIVE,Aug 28 26,8:30 PM,11,10
C-05,C-02,COMPETITIVE,Aug 28 26,9:15 PM,11,8
C-02,C-08,COMPETITIVE,Aug 28 26,10:00 PM,11,5
C-05,C-08,COMPETITIVE,Aug 28 26,10:45 PM,11,2
S-13,S-10,SKILLED,Aug 28 26,7:00 PM,12,16
S-10,S-16,SKILLED,Aug 28 26,7:45 PM,12,13
S-13,S-16,SKILLED,Aug 28 26,8:30 PM,12,10
S-05,S-02,SKILLED,Aug 28 26,9:15 PM,12,8
S-02,S-08,SKILLED,Aug 28 26,10:00 PM,12,5
S-05,S-08,SKILLED,Aug 28 26,10:45 PM,12,2
I-08,I-08,INTERMEDIATE,Aug 28 26,7:00 PM,13,I2
I-11,I-11,INTERMEDIATE,Aug 28 26,7:45 PM,13,I8
I-08,I-08,INTERMEDIATE,Aug 28 26,8:30 PM,13,I11
I-12,I-12,INTERMEDIATE,Aug 28 26,9:15 PM,13,I1
I-15,I-15,INTERMEDIATE,Aug 28 26,10:00 PM,13,I12
I-12,I-12,INTERMEDIATE,Aug 28 26,10:45 PM,13,I15
I-04,I-04,INTERMEDIATE,Aug 28 26,7:00 PM,14,I6
I-10,I-10,INTERMEDIATE,Aug 28 26,7:45 PM,14,I4
I-04,I-04,INTERMEDIATE,Aug 28 26,8:30 PM,14,I10
I-05,I-05,INTERMEDIATE,Aug 28 26,9:15 PM,14,I7
I-13,I-13,INTERMEDIATE,Aug 28 26,10:00 PM,14,I5
I-05,I-05,INTERMEDIATE,Aug 28 26,10:45 PM,14,I13
I-03,I-03,INTERMEDIATE,Aug 28 26,7:00 PM,15,I9
I-14,I-14,INTERMEDIATE,Aug 28 26,7:45 PM,15,I3
I-03,I-03,INTERMEDIATE,Aug 28 26,8:30 PM,15,I14
R-06,R-03,RECREATIONAL,Aug 28 26,9:15 PM,15,9
R-03,R-09,RECREATIONAL,Aug 28 26,10:00 PM,15,6
R-06,R-09,RECREATIONAL,Aug 28 26,10:45 PM,15,3
R-04,R-01,RECREATIONAL,Aug 28 26,7:00 PM,16,7
R-01,R-07,RECREATIONAL,Aug 28 26,7:45 PM,16,4
R-04,R-07,RECREATIONAL,Aug 28 26,8:30 PM,16,1
R-05,R-02,RECREATIONAL,Aug 28 26,9:15 PM,16,8
R-02,R-08,RECREATIONAL,Aug 28 26,10:00 PM,16,5
R-05,R-08,RECREATIONAL,Aug 28 26,10:45 PM,16,2
E-06,E-04,ELITE,Sep 11 26,7:00 PM,4,1
E-04,E-01,ELITE,Sep 11 26,7:45 PM,4,6
E-06,E-01,ELITE,Sep 11 26,8:30 PM,4,4
E-03,E-05,ELITE,Sep 11 26,9:15 PM,4,2
E-05,E-02,ELITE,Sep 11 26,10:00 PM,4,3
E-03,E-02,ELITE,Sep 11 26,10:45 PM,4,5
